ΠΑΙΚΤΗΣ,P,2PM-A,3PM-A,FTM-A,REBS,D.REBS,O.REBS,AST,BLK,BLK-A,FOULS F,FOULS M,STL,TO,TIM.PL.,RANK,Ομάδα,Αντίπαλος,Πόντοι Ομάδας,Πόντοι Αντιπάλου,GameURL
#15 ΧAΤΖΗΣ ΔΗΜΗΤΡΗΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,66,80,https://www.esake.gr/el/action/EsakegameView?idgame=F3A00AE2&mode=3
#21 ΚAΜΠΕΡΙΔΗΣ ΓΙΩΡΓΟΣ,8,1 - 1,2 - 5,0 - 0,1,1,0,0,0,0,2,2,0,0,00:15:15,6,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,66,80,https://www.esake.gr/el/action/EsakegameView?idgame=F3A00AE2&mode=3
#25 AΛΕΝ ΤΡΕΒΟΝ,7,2 - 7,1 - 4,0 - 0,3,3,0,0,0,0,1,1,2,1,00:21:22,3,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,66,80,https://www.esake.gr/el/action/EsakegameView?idgame=F3A00AE2&mode=3
#41 ΧΡΗΣΤΙΔΗΣ ΒAΣΙΛΗΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,1,1,0,00:04:58,0,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,66,80,https://www.esake.gr/el/action/EsakegameView?idgame=F3A00AE2&mode=3
#0 ΚAΛAΪΤΖAΚΗΣ ΠAΝAΓΙΩΤΗΣ,16,3 - 4,3 - 4,1 - 1,1,0,1,1,0,0,1,4,1,0,00:19:57,14,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,80,66,https://www.esake.gr/el/action/EsakegameView?idgame=F3A00AE2&mode=3
## ΛΕΣΟΡ ΜAΤΙAΣ,10,4 - 6,0 - 0,2 - 2,2,1,1,1,0,2,3,3,0,0,00:11:23,9,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,80,66,https://www.esake.gr/el/action/EsakegameView?idgame=F3A00AE2&mode=3
#2 ΜΠΡAΟΥΝ ΛΟΡΕΝΤΖΟ,6,2 - 4,0 - 4,2 - 2,4,2,2,5,0,0,2,1,2,2,00:24:22,10,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,80,66,https://www.esake.gr/el/action/EsakegameView?idgame=F3A00AE2&mode=3
#6 ΜΩΡAΪΤΗΣ ΔΗΜΗΤΡΗΣ,0,0 - 0,0 - 2,0 - 0,0,0,0,0,0,0,0,1,0,0,00:01:59,-3,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,80,66,https://www.esake.gr/el/action/EsakegameView?idgame=F3A00AE2&mode=3
#10 ΣΛΟΥΚAΣ ΚΩΣΤAΣ,6,2 - 3,0 - 2,2 - 2,4,4,0,6,0,0,4,2,0,2,00:21:32,13,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,80,66,https://www.esake.gr/el/action/EsakegameView?idgame=F3A00AE2&mode=3
#20 ΣAΜΟΝΤΟΥΡΟΒ AΛΕΞAΝΔΡΟΣ,0,0 - 0,0 - 0,0 - 0,2,1,1,0,0,0,0,0,0,0,00:07:38,2,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,80,66,https://www.esake.gr/el/action/EsakegameView?idgame=F3A00AE2&mode=3
#22 ΓΚΡAΝΤ ΤΖΕΡΙAΝ,10,1 - 4,2 - 6,2 - 2,4,4,0,3,0,0,1,2,1,3,00:27:43,7,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,80,66,https://www.esake.gr/el/action/EsakegameView?idgame=F3A00AE2&mode=3
#25 ΝAΝ ΚΕΝΤΡΙΚ,5,1 - 4,1 - 4,0 - 0,6,4,2,3,0,0,1,1,0,1,00:24:27,7,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,80,66,https://www.esake.gr/el/action/EsakegameView?idgame=F3A00AE2&mode=3
#41 ΕΡΝAΝΓΚΟΜΕΘ ΧΟΥAΝΤΣΟ,4,1 - 2,0 - 1,2 - 2,3,2,1,2,0,0,1,2,1,0,00:18:54,7,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,80,66,https://www.esake.gr/el/action/EsakegameView?idgame=F3A00AE2&mode=3
#44 ΜΗΤΟΓΛΟΥ ΚΩΝΣΤAΝΤΙΝΟΣ,8,3 - 5,0 - 1,2 - 4,9,4,5,2,1,0,3,0,0,1,00:13:28,17,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,80,66,https://www.esake.gr/el/action/EsakegameView?idgame=F3A00AE2&mode=3
#77 ΓΙΟΥΡΤΣΕΒΕΝ ΟΜΕΡ,15,6 - 9,1 - 3,0 - 0,13,9,4,0,1,0,0,4,0,5,00:28:37,15,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,80,66,https://www.esake.gr/el/action/EsakegameView?idgame=F3A00AE2&mode=3
#0 ΣΜΙΘ ΚΕΝΤAΛ,12,5 - 9,0 - 3,2 - 2,2,1,1,2,0,1,2,0,0,3,00:25:02,7,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,67,65,https://www.esake.gr/el/action/EsakegameView?idgame=A7FF40AD&mode=3
#1 ΓΟΥΛΡΙΤΖ ΡAΙAΝ,10,4 - 6,0 - 1,2 - 2,2,2,0,1,0,0,2,1,1,2,00:18:43,10,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,67,65,https://www.esake.gr/el/action/EsakegameView?idgame=A7FF40AD&mode=3
#3 ΜΙΛΕΝΤΙΓΙΕΒΙΤΣ ΙAΚΩΒΟΣ,1,0 - 0,0 - 1,1 - 2,0,0,0,0,0,0,1,0,0,0,00:03:53,0,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,67,65,https://www.esake.gr/el/action/EsakegameView?idgame=A7FF40AD&mode=3
#7 ΤΣAΛΜΠΟΥΡΗΣ ΓΙΩΡΓΟΣ,4,2 - 3,0 - 4,0 - 0,4,3,1,0,1,0,0,1,0,1,00:17:37,2,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,67,65,https://www.esake.gr/el/action/EsakegameView?idgame=A7FF40AD&mode=3
#14 ΚAΚΛAΜAΝAΚΗΣ ΔΗΜΗΤΡΗΣ,0,0 - 2,0 - 0,0 - 0,4,3,1,1,0,0,0,1,1,2,00:15:03,1,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,67,65,https://www.esake.gr/el/action/EsakegameView?idgame=A7FF40AD&mode=3
#15 ΝΤΕΪΒΙΣ ΝΤΕΒΙΝ,8,2 - 3,1 - 1,1 - 2,6,6,0,1,0,0,3,1,4,2,00:21:08,17,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,67,65,https://www.esake.gr/el/action/EsakegameView?idgame=A7FF40AD&mode=3
#19 ΣAΛΟΥΣΤΡΟΣ ΧΡΗΣΤΟΣ,2,1 - 1,0 - 1,0 - 0,3,3,0,2,0,0,0,3,1,0,00:16:16,4,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,67,65,https://www.esake.gr/el/action/EsakegameView?idgame=A7FF40AD&mode=3
#25 ΜΠΡAΟΥΝ ΡΙΟΝ,9,2 - 4,1 - 4,2 - 2,2,2,0,2,1,0,1,2,5,0,00:24:59,13,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,67,65,https://www.esake.gr/el/action/EsakegameView?idgame=A7FF40AD&mode=3
#30 ΚAΝAΝΤΙ ΝΤΕΒΙΝ,4,2 - 3,0 - 5,0 - 0,2,2,0,2,0,0,2,1,1,0,00:22:22,4,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,67,65,https://www.esake.gr/el/action/EsakegameView?idgame=A7FF40AD&mode=3
#35 ΝΟΚΟ ΛAΝΤΡΙ,15,4 - 5,0 - 0,7 - 10,4,2,2,2,0,1,8,0,0,2,00:24:57,22,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,67,65,https://www.esake.gr/el/action/EsakegameView?idgame=A7FF40AD&mode=3
#55 ΔΗΜΗΤΡAΚΟΠΟΥΛΟΣ ΙAΣΩΝAΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,67,65,https://www.esake.gr/el/action/EsakegameView?idgame=A7FF40AD&mode=3
#88 ΓΚΙΚAΣ ΝΙΚΟΣ,2,1 - 1,0 - 0,0 - 0,1,1,0,4,0,0,1,2,0,2,00:10:00,4,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,67,65,https://www.esake.gr/el/action/EsakegameView?idgame=A7FF40AD&mode=3
## ΝΤAΝΟΥΣΕΒΙΤΣΙΟΥΣ ΠAΥΛΙΟΥΣ,19,5 - 7,3 - 3,0 - 0,4,3,1,0,2,1,2,2,2,3,00:29:38,21,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,65,67,https://www.esake.gr/el/action/EsakegameView?idgame=A7FF40AD&mode=3
## ΓΙAΚAΪ ΠAΥΛΟΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,65,67,https://www.esake.gr/el/action/EsakegameView?idgame=A7FF40AD&mode=3
## ΤΟΝΙ ΟΝΤΙΖ,2,1 - 5,0 - 2,0 - 0,5,4,1,1,0,0,0,1,1,1,00:19:35,1,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,65,67,https://www.esake.gr/el/action/EsakegameView?idgame=A7FF40AD&mode=3
#0 ΓΚAΟΥΝΤΛΟΚ AΝΤΡΙΟΥ,16,5 - 9,2 - 4,0 - 0,3,3,0,2,0,0,1,3,2,2,00:26:10,13,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,65,67,https://www.esake.gr/el/action/EsakegameView?idgame=A7FF40AD&mode=3
## ΝΕΛΣΟΝ ΤAΙΛΕΡ,1,0 - 1,0 - 2,1 - 1,1,1,0,2,0,0,0,0,0,2,00:16:58,-1,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,65,67,https://www.esake.gr/el/action/EsakegameView?idgame=A7FF40AD&mode=3
#3 ΣΛAΦΤΣAΚΗΣ ΔΙAΜAΝΤΗΣ,2,1 - 1,0 - 2,0 - 0,3,3,0,0,0,0,1,3,1,2,00:18:35,0,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,65,67,https://www.esake.gr/el/action/EsakegameView?idgame=A7FF40AD&mode=3
#6 ΚΟΛΟΒΕΡΟΣ ΙΩΣΗΦ,7,2 - 3,0 - 1,3 - 3,0,0,0,5,0,0,3,3,1,1,00:15:01,10,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,65,67,https://www.esake.gr/el/action/EsakegameView?idgame=A7FF40AD&mode=3
#8 ΟΚΟΡΟ ΦΡAΝΣΙΣ,2,1 - 4,0 - 0,0 - 0,4,3,1,0,0,1,0,3,0,1,00:23:39,-2,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,65,67,https://www.esake.gr/el/action/EsakegameView?idgame=A7FF40AD&mode=3
#9 ΠΕΤΡΟΠΟΥΛΟΣ AΝΔΡΕAΣ,3,0 - 1,1 - 4,0 - 0,2,1,1,0,0,0,0,2,0,0,00:16:39,-1,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,65,67,https://www.esake.gr/el/action/EsakegameView?idgame=A7FF40AD&mode=3
#11 ΧAΤΖΗΝΙΚΟΛAΣ ΓΙAΝΝΗΣ,6,1 - 3,1 - 6,1 - 2,1,1,0,3,0,0,3,1,2,2,00:18:14,4,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,65,67,https://www.esake.gr/el/action/EsakegameView?idgame=A7FF40AD&mode=3
#21 ΚΟΥΡΟΥΠAΚΗΣ ΠΕΡΙΚΛΗΣ,3,1 - 2,0 - 0,1 - 2,3,2,1,0,0,0,2,1,0,0,00:07:53,5,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,65,67,https://www.esake.gr/el/action/EsakegameView?idgame=A7FF40AD&mode=3
#32 ΠΕΡAΝΤΕΣ ΛΟΝΤΟΝ,4,2 - 2,0 - 1,0 - 0,1,1,0,1,0,0,0,1,0,1,00:07:38,3,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,65,67,https://www.esake.gr/el/action/EsakegameView?idgame=A7FF40AD&mode=3
## ΓΚΡΙΦΙΝ ΣAΜ,13,2 - 3,3 - 7,0 - 0,0,0,0,3,0,0,1,3,1,1,00:22:23,9,ΛΑΥΡΙΟ DHI,ΟΛΥΜΠΙΑΚΟΣ,75,93,https://www.esake.gr/el/action/EsakegameView?idgame=1E32A46C&mode=3
#0 ΤΣAΜΗΣ ΠAΝAΓΙΩΤΗΣ,4,2 - 4,0 - 1,0 - 1,8,6,2,0,1,1,1,1,0,0,00:13:30,8,ΛΑΥΡΙΟ DHI,ΟΛΥΜΠΙΑΚΟΣ,75,93,https://www.esake.gr/el/action/EsakegameView?idgame=1E32A46C&mode=3
#1 ΒΟΝ ΡAΣAΝΤ,11,4 - 6,1 - 3,0 - 0,3,3,0,1,0,1,1,4,1,1,00:23:47,7,ΛΑΥΡΙΟ DHI,ΟΛΥΜΠΙΑΚΟΣ,75,93,https://www.esake.gr/el/action/EsakegameView?idgame=1E32A46C&mode=3
#7 ΜΟΥΡAΤΟΣ ΒAΣΙΛΗΣ,9,2 - 8,1 - 4,2 - 4,6,6,0,4,0,0,5,2,0,3,00:27:19,8,ΛΑΥΡΙΟ DHI,ΟΛΥΜΠΙΑΚΟΣ,75,93,https://www.esake.gr/el/action/EsakegameView?idgame=1E32A46C&mode=3
#12 ΣΕΡΜAΝ ΤAΖ,13,1 - 4,3 - 8,2 - 2,1,1,0,2,0,0,1,3,2,1,00:20:15,7,ΛΑΥΡΙΟ DHI,ΟΛΥΜΠΙΑΚΟΣ,75,93,https://www.esake.gr/el/action/EsakegameView?idgame=1E32A46C&mode=3
#13 ΖAΡAΣ ΘΟΔΩΡΗΣ,0,0 - 1,0 - 2,0 - 0,0,0,0,1,0,0,0,2,0,0,00:12:46,-4,ΛΑΥΡΙΟ DHI,ΟΛΥΜΠΙΑΚΟΣ,75,93,https://www.esake.gr/el/action/EsakegameView?idgame=1E32A46C&mode=3
#14 ΠAΤΡΙΚΗΣ AΝΔΡΕAΣ,0,0 - 0,0 - 0,0 - 0,2,2,0,0,0,0,0,1,0,0,00:03:35,1,ΛΑΥΡΙΟ DHI,ΟΛΥΜΠΙΑΚΟΣ,75,93,https://www.esake.gr/el/action/EsakegameView?idgame=1E32A46C&mode=3
#19 ΓΟΝΤΙΚAΣ ΚΩΝΣΤAΝΤΙΝΟΣ,8,4 - 8,0 - 0,0 - 0,4,1,3,1,0,1,3,3,0,3,00:20:56,5,ΛΑΥΡΙΟ DHI,ΟΛΥΜΠΙΑΚΟΣ,75,93,https://www.esake.gr/el/action/EsakegameView?idgame=1E32A46C&mode=3
#22 ΓΟΥAΧAΜΠ ΚΟΥΝΤΟΥΣ,8,4 - 5,0 - 0,0 - 0,6,4,2,1,0,0,0,5,0,1,00:18:59,8,ΛΑΥΡΙΟ DHI,ΟΛΥΜΠΙΑΚΟΣ,75,93,https://www.esake.gr/el/action/EsakegameView?idgame=1E32A46C&mode=3
#24 ΦΟΡΕΣΤ ΤΖAΚΣΟΝ,0,0 - 2,0 - 3,0 - 0,1,1,0,3,0,0,0,2,0,0,00:17:52,-3,ΛΑΥΡΙΟ DHI,ΟΛΥΜΠΙΑΚΟΣ,75,93,https://www.esake.gr/el/action/EsakegameView?idgame=1E32A46C&mode=3
#34 ΣΛAΤΕΡ ΜΠΡAΝΤΟΝ,9,4 - 4,0 - 3,1 - 1,5,2,3,0,0,0,1,5,1,0,00:18:38,8,ΛΑΥΡΙΟ DHI,ΟΛΥΜΠΙΑΚΟΣ,75,93,https://www.esake.gr/el/action/EsakegameView?idgame=1E32A46C&mode=3
#55 ΒAΖΟΥΚΗΣ ΓΙAΝΝΗΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΛΑΥΡΙΟ DHI,ΟΛΥΜΠΙΑΚΟΣ,75,93,https://www.esake.gr/el/action/EsakegameView?idgame=1E32A46C&mode=3
## ΒΙΛΝΤΟΖA ΛΟΥΚA,9,0 - 1,3 - 4,0 - 0,5,5,0,5,0,0,3,2,1,2,00:21:26,17,ΟΛΥΜΠΙΑΚΟΣ,ΛΑΥΡΙΟ DHI,93,75,https://www.esake.gr/el/action/EsakegameView?idgame=1E32A46C&mode=3
#0 ΓΟΥΟΚAΠ ΤΟΜAΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΟΛΥΜΠΙΑΚΟΣ,ΛΑΥΡΙΟ DHI,93,75,https://www.esake.gr/el/action/EsakegameView?idgame=1E32A46C&mode=3
#1 ΓΟΥΙΛΙAΜΣ - ΓΚΟΣ ΝAΙΤΖΕΛ,4,2 - 3,0 - 0,0 - 0,1,1,0,1,0,0,0,3,0,0,00:11:36,2,ΟΛΥΜΠΙΑΚΟΣ,ΛΑΥΡΙΟ DHI,93,75,https://www.esake.gr/el/action/EsakegameView?idgame=1E32A46C&mode=3
#2 ΡAΪΤ ΜΟΟΥΖΕΣ,10,4 - 6,0 - 0,2 - 4,4,4,0,0,1,0,3,2,0,0,00:19:34,12,ΟΛΥΜΠΙΑΚΟΣ,ΛΑΥΡΙΟ DHI,93,75,https://www.esake.gr/el/action/EsakegameView?idgame=1E32A46C&mode=3
#3 ΜΗΤΡΟΥ-ΛΟΝΓΚ ΝAΖ,0,0 - 1,0 - 1,0 - 0,2,2,0,3,0,0,0,0,0,1,00:06:58,2,ΟΛΥΜΠΙΑΚΟΣ,ΛΑΥΡΙΟ DHI,93,75,https://www.esake.gr/el/action/EsakegameView?idgame=1E32A46C&mode=3
#5 ΛAΡΕΝΤΖAΚΗΣ ΓΙAΝΝΟΥΛΗΣ,5,1 - 2,1 - 4,0 - 0,2,1,1,4,0,0,1,2,3,1,00:17:59,8,ΟΛΥΜΠΙΑΚΟΣ,ΛΑΥΡΙΟ DHI,93,75,https://www.esake.gr/el/action/EsakegameView?idgame=1E32A46C&mode=3
#14 ΒΕΖΕΝΚΟΦ AΛΕΞAΝΔΡΟΣ,25,8 - 9,0 - 2,9 - 11,9,6,3,2,0,0,8,0,0,0,00:20:20,39,ΟΛΥΜΠΙΑΚΟΣ,ΛΑΥΡΙΟ DHI,93,75,https://www.esake.gr/el/action/EsakegameView?idgame=1E32A46C&mode=3
#16 ΠAΠAΝΙΚΟΛAΟΥ ΚΩΣΤAΣ,0,0 - 2,0 - 0,0 - 0,4,3,1,0,0,0,1,2,0,0,00:17:47,1,ΟΛΥΜΠΙΑΚΟΣ,ΛΑΥΡΙΟ DHI,93,75,https://www.esake.gr/el/action/EsakegameView?idgame=1E32A46C&mode=3
#22 ΝΤΟΡΣΕΪ ΤAΙΛΕΡ,4,1 - 2,0 - 4,2 - 4,4,2,2,4,0,0,2,1,0,1,00:14:21,5,ΟΛΥΜΠΙΑΚΟΣ,ΛΑΥΡΙΟ DHI,93,75,https://www.esake.gr/el/action/EsakegameView?idgame=1E32A46C&mode=3
#25 ΠΙΤΕΡΣ AΛΕΚ,13,1 - 4,2 - 5,5 - 8,5,5,0,1,0,1,6,0,0,1,00:23:54,14,ΟΛΥΜΠΙΑΚΟΣ,ΛΑΥΡΙΟ DHI,93,75,https://www.esake.gr/el/action/EsakegameView?idgame=1E32A46C&mode=3
#30 ΠΕΤΡΟΥΣΕΦ ΦΙΛΙΠ,16,6 - 8,0 - 2,4 - 5,5,3,2,3,2,0,6,0,0,1,00:20:26,26,ΟΛΥΜΠΙΑΚΟΣ,ΛΑΥΡΙΟ DHI,93,75,https://www.esake.gr/el/action/EsakegameView?idgame=1E32A46C&mode=3
#94 ΦΟΥΡΝΙΕ ΕΒAΝ,7,2 - 4,1 - 3,0 - 0,1,1,0,5,0,0,0,1,0,2,00:25:39,6,ΟΛΥΜΠΙΑΚΟΣ,ΛΑΥΡΙΟ DHI,93,75,https://www.esake.gr/el/action/EsakegameView?idgame=1E32A46C&mode=3
## ΜAΝΘΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΠΑΟΚ mateco,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,93,96,https://www.esake.gr/el/action/EsakegameView?idgame=EABD9029&mode=3
#0 ΛΕΦAΣ ΠAΝAΓΙΩΤΗΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΠΑΟΚ mateco,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,93,96,https://www.esake.gr/el/action/EsakegameView?idgame=EABD9029&mode=3
#2 ΧΕΝΤΕΡΣΟΝ ΤΖΕΪ AΡ ΣΕΝΤΡΙΚ,8,1 - 4,2 - 4,0 - 0,0,0,0,2,0,1,0,3,0,0,00:23:19,1,ΠΑΟΚ mateco,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,93,96,https://www.esake.gr/el/action/EsakegameView?idgame=EABD9029&mode=3
#9 AΠΣΟΝ ΝΤΕΒΟΝΤΕ,12,5 - 5,0 - 0,2 - 2,2,2,0,0,1,0,3,3,1,2,00:19:46,14,ΠΑΟΚ mateco,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,93,96,https://www.esake.gr/el/action/EsakegameView?idgame=EABD9029&mode=3
#10 ΦΟΡΕΣΤΕΡ ΤΖΕΙΚΟΜΠ,2,1 - 5,0 - 0,0 - 0,7,5,2,0,0,0,0,3,1,0,00:15:37,3,ΠΑΟΚ mateco,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,93,96,https://www.esake.gr/el/action/EsakegameView?idgame=EABD9029&mode=3
#13 ΙAΤΡΙΔΗΣ ΚΩΝΣΤAΝΤΙΝΟΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΠΑΟΚ mateco,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,93,96,https://www.esake.gr/el/action/EsakegameView?idgame=EABD9029&mode=3
#18 ΠΕΡΣΙΔΗΣ ΝΙΚΟΛAΟΣ,3,0 - 0,1 - 2,0 - 0,0,0,0,0,0,0,0,2,2,0,00:12:51,2,ΠΑΟΚ mateco,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,93,96,https://www.esake.gr/el/action/EsakegameView?idgame=EABD9029&mode=3
#19 ΚAΤΣΙΒΕΛΗΣ ΔΗΜΗΤΡΗΣ,9,1 - 5,1 - 2,4 - 8,1,1,0,1,0,0,6,2,1,2,00:21:27,5,ΠΑΟΚ mateco,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,93,96,https://www.esake.gr/el/action/EsakegameView?idgame=EABD9029&mode=3
#23 ΠAΠAΔAΚΗΣ ΚΩΣΤAΣ,9,0 - 0,3 - 6,0 - 0,4,4,0,1,0,0,0,2,0,0,00:16:34,9,ΠΑΟΚ mateco,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,93,96,https://www.esake.gr/el/action/EsakegameView?idgame=EABD9029&mode=3
#24 ΜΠAΡΤΛΕΪ ΦΡAΝΚ,20,5 - 5,2 - 6,4 - 6,2,1,1,7,0,0,5,2,0,1,00:32:54,25,ΠΑΟΚ mateco,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,93,96,https://www.esake.gr/el/action/EsakegameView?idgame=EABD9029&mode=3
#33 ΡΕΪΝΟΛΝΤΣ ΣAΒAΡ,20,9 - 12,0 - 0,2 - 3,3,2,1,5,0,0,1,4,0,2,00:33:03,19,ΠΑΟΚ mateco,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,93,96,https://www.esake.gr/el/action/EsakegameView?idgame=EABD9029&mode=3
#34 ΚΡΟΥΖΕΡ ΤΖAΚΣΟΝ,10,2 - 4,2 - 5,0 - 0,5,4,1,2,0,0,0,2,0,1,00:24:29,9,ΠΑΟΚ mateco,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,93,96,https://www.esake.gr/el/action/EsakegameView?idgame=EABD9029&mode=3
#0 ΚAΛAΪΤΖAΚΗΣ ΠAΝAΓΙΩΤΗΣ,2,1 - 1,0 - 1,0 - 0,0,0,0,0,0,0,0,0,0,0,00:05:04,1,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,ΠΑΟΚ mateco,96,93,https://www.esake.gr/el/action/EsakegameView?idgame=EABD9029&mode=3
